,Unnamed: 0,completion_year,rent,rent_type,region,district,property_type,rooms,parking,bathroom,size,furnished_rate,facilities_rate,maintanance_fee,completion_rate,competition_rate_x,competition_rate_y
0,0,2022.0,4200,house,Kuala Lumpur,Taman Desa,Condominium,5,2.0,6.0,1842.0,2.0,10.0,4144.5,new,57.0,57.0
1,1,,2300,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,1170.0,1.0,9.0,0.0,new,1.0,1.0
2,2,,1000,house,Kuala Lumpur,Taman Desa,Apartment,3,,2.0,650.0,2.0,4.0,0.0,new,5.0,5.0
3,3,2020.0,1700,house,Kuala Lumpur,Sentul,Apartment,2,1.0,2.0,743.0,1.0,8.0,1671.75,new,56.0,56.0
4,4,,1299,room,Kuala Lumpur,Mont Kiara,Service Residence,1,1.0,1.0,494.0,0.0,11.0,0.0,new,36.0,36.0
5,5,,1500,house,Kuala Lumpur,Setapak,Apartment,3,1.0,2.0,884.0,1.0,6.0,0.0,new,34.0,34.0
6,6,,2900,house,Kuala Lumpur,Sentul,Service Residence,3,2.0,2.0,982.0,2.0,10.0,0.0,new,20.0,20.0
7,7,2018.0,1550,room,Kuala Lumpur,Ampang,Service Residence,1,1.0,1.0,700.0,2.0,7.0,1575.0,new,48.0,48.0
8,8,2014.0,1400,house,Kuala Lumpur,Segambut,Apartment,2,1.0,1.0,750.0,2.0,5.0,3367.5,moderate,6.0,6.0
9,9,,1350,house,Kuala Lumpur,Desa ParkCity,Condominium,3,1.0,2.0,862.0,1.0,6.0,0.0,new,36.0,36.0
10,10,2019.0,2600,house,Kuala Lumpur,Bukit Jalil,Service Residence,2,,2.0,868.0,1.0,7.0,1953.0,new,18.0,18.0
11,11,2022.0,2000,house,Kuala Lumpur,Setapak,Service Residence,4,2.0,2.0,1100.0,1.0,9.0,2475.0,new,68.0,68.0
12,12,2018.0,1500,room,Kuala Lumpur,Ampang,Service Residence,1,1.0,1.0,700.0,2.0,13.0,1575.0,new,48.0,48.0
13,13,2017.0,1300,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,1009.0,2.0,11.0,2270.25,new,42.0,42.0
14,14,,1000,house,Kuala Lumpur,Kepong,Apartment,5,,2.0,855.0,1.0,3.0,0.0,new,10.0,10.0
15,15,2020.0,3200,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,950.0,2.0,13.0,2137.5,new,23.0,23.0
16,16,2020.0,3200,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,950.0,2.0,13.0,2137.5,new,23.0,23.0
