,prop_name,rent,rent_type,region,district,property_type,rooms,parking,bathroom,size,furnished_rate,facilities_rate
0,The Hipster @ Taman Desa,4200,house,Kuala Lumpur,Taman Desa,Condominium,5,2.0,6.0,1842,2,10.0
1,Segar Courts,2300,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,1170,1,9.0
2,Pangsapuri Teratak Muhibbah 2,1000,house,Kuala Lumpur,Taman Desa,Apartment,3,,2.0,650,2,4.0
3,Sentul Point Suite Apartment,1700,house,Kuala Lumpur,Sentul,Apartment,2,1.0,2.0,743,1,8.0
4,Arte Mont Kiara,1299,room,Kuala Lumpur,Mont Kiara,Service Residence,1,1.0,1.0,494,0,11.0
5,Residensi Vista Wirajaya,1500,house,Kuala Lumpur,Setapak,Apartment,3,1.0,2.0,884,1,6.0
6,Sky Meridien,2900,house,Kuala Lumpur,Sentul,Service Residence,3,2.0,2.0,982,2,10.0
7,Arte Plus Jalan Ampang,1550,room,Kuala Lumpur,Ampang,Service Residence,1,1.0,1.0,700,2,7.0
8,Nova I,1400,house,Kuala Lumpur,Segambut,Apartment,2,1.0,1.0,750,2,5.0
9,Sofiya Residences,1350,house,Kuala Lumpur,Desa ParkCity,Condominium,3,1.0,2.0,862,1,6.0
10,The Park Sky Residence @ Bukit Jalil City,2600,house,Kuala Lumpur,Bukit Jalil,Service Residence,2,,2.0,868,1,7.0
11,PV9 Residences @ Taman Melati,2000,house,Kuala Lumpur,Setapak,Service Residence,4,2.0,2.0,1100,1,9.0
12,Arte Plus Jalan Ampang,1500,room,Kuala Lumpur,Ampang,Service Residence,1,1.0,1.0,700,2,13.0
13,Maxim Citilights,1300,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,1009,2,11.0
14,Greenview Apartments,1000,house,Kuala Lumpur,Kepong,Apartment,5,,2.0,855,1,3.0
15,Legasi Kampong Bharu,3200,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,950,2,13.0
16,Legasi Kampong Bharu,3200,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,950,2,13.0
17,Majestic Maxim,1400,house,Kuala Lumpur,Cheras,Service Residence,2,2.0,2.0,650,0,8.0
18,Desa Villas,2500,house,Kuala Lumpur,Wangsa Maju,Condominium,4,2.0,2.0,1784,0,4.0
19,East Side One Ampang Avenue,1800,house,Kuala Lumpur,Ampang,Condominium,3,1.0,2.0,1100,2,8.0
20,Majestic Maxim,1099,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,2.0,650,0,8.0
21,Majestic Maxim,1099,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,2.0,650,1,8.0
22,Majestic Maxim,1199,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,819,0,8.0
23,Majestic Maxim,1100,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,2.0,650,0,8.0
24,Sri Penara,1000,house,Kuala Lumpur,Cheras,Apartment,3,,2.0,650,0,3.0
25,Prisma Cheras,1100,room,Kuala Lumpur,Cheras,Condominium,1,1.0,1.0,900,1,9.0
26,Menara Alpha,1400,house,Kuala Lumpur,Wangsa Maju,Condominium,3,1.0,2.0,1140,0,6.0
27,Berlian Residence @ Setapak,1500,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,900,0,5.0
28,28 Dutamas,2500,house,Kuala Lumpur,Solaris Dutamas,Condominium,4,2.0,3.0,1500,1,6.0
29,28 Dutamas,2900,house,Kuala Lumpur,Solaris Dutamas,Condominium,4,2.0,3.0,1719,2,6.0
30,Pangsapuri Melur (Sentul),1750,house,Kuala Lumpur,Sentul,Apartment,3,,2.0,1065,1,
31,Residensi Vista Wirajaya,1800,house,Kuala Lumpur,Setapak,Apartment,3,1.0,2.0,885,2,
32,Bayu Sentul Condominium,1900,house,Kuala Lumpur,Sentul,Condominium,3,2.0,2.0,1300,1,
33,Flexus Signature Suites,1500,room,Kuala Lumpur,Jalan Kuching,Studio,1,1.0,1.0,530,2,6.0
34,Menjalara 18,2400,house,Kuala Lumpur,Bandar Menjalara,Condominium,3,1.0,2.0,1316,2,8.0
35,G Residence @ Desa Pandan,4500,house,Kuala Lumpur,Desa Pandan,Service Residence,3,2.0,2.0,1539,2,4.0
36,Greenpark,1400,house,Kuala Lumpur,Old Klang Road,Condominium,3,1.0,2.0,1270,1,10.0
37,Majestic Maxim,1800,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,819,1,10.0
38,Baiduri Apartment (Desa Pandan),1500,house,Kuala Lumpur,Desa Pandan,Apartment,3,1.0,2.0,950,1,2.0
39,Bennington Residences @ SkyArena,3000,house,Kuala Lumpur,Setapak,Condominium,3,2.0,2.0,1200,2,11.0
40,Sri Putramas,1600,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1100,2,9.0
41,Putra Villa,1800,house,Kuala Lumpur,Setapak,Condominium,3,,2.0,1066,2,
42,38 Bidara,2100,house,Kuala Lumpur,KLCC,Condominium,2,,2.0,706,2,9.0
43,3 Towers,2500,house,Kuala Lumpur,Ampang Hilir,Condominium,2,1.0,1.0,890,2,6.0
44,One Maxim,1300,house,Kuala Lumpur,Sentul,Service Residence,2,1.0,2.0,650,1,9.0
45,Casa Mutiara,2000,house,Kuala Lumpur,Bukit Bintang,Service Residence,2,1.0,2.0,742,2,7.0
46,Sofiya Residences,2000,house,Kuala Lumpur,Desa ParkCity,Condominium,3,1.0,2.0,862,2,2.0
