Campaign_ID,Channel,Product_Category,Region,Longitude,Latitude,Budget,Spend,Impressions,Clicks,CTR,Conversions,CR,Revenue,ROI,Duration,Start_Date,End_Date,Customer_Satisfaction,Campaign_Effectiveness,Market_Segment
CAM0001,Billboard,Fashion,Kuala Lumpur,101.6869,3.139,484341,197038,545901,,0.0785,7993,0.3414,849005,0.64,212,2/3/2023,23/12/2023,3,3,Medium
CAM0002,Social Media,Health,Sarawak,110.3626,1.5532,468792,33743,527513,4130,0.9479,9459,,921078,3.78,29,26/2/2023,26/8/2023,3,7,Medium
CAM0003,Radio,Electronics,Penang,100.3314,5.4141,10487,6745,806911,12209,,7168,0.0517,51142,3.64,74,12/4/2023,20/10/2023,1,2,Medium
CAM0004,Email,Electronics,Penang,100.3314,5.4141,345431,329112,108570,34391,0.6157,7190,0.3579,191887,2.64,67,24/4/2023,26/1/2023,5,6,High
CAM0005,Radio,Fashion,Kuala Lumpur,101.6869,3.139,322345,34365,799855,13056,,1794,0.0544,167241,1.02,40,10/1/2023,1/1/2023,5,6,Low
CAM0006,TV,Electronics,Penang,100.3314,5.4141,422726,,25680,16342,0.7683,9786,0.3395,480187,1.81,174,16/8/2023,15/6/2023,5,3,Medium
CAM0007,Radio,Automotive,Sarawak,110.3626,1.5532,,444126,81342,35053,0.0303,290,0.5596,753564,2.69,105,21/6/2023,7/7/2023,4,7,High
CAM0008,Billboard,Groceries,Kuala Lumpur,101.6869,3.139,406954,64007,180250,17104,0.7427,8704,0.9349,987174,0.39,59,13/6/2023,19/10/2023,4,44.45747469,Low
CAM0009,Social Media,Electronics,Johor,103.662,1.492,,71027,543474,3181,0.5424,20614.52929,,318098,1.5,358,21/6/2023,5/12/2023,3,10,High
CAM0010,Radio,Automotive,Kuala Lumpur,101.6869,3.139,399568,297974,319054,36693,0.1588,3160,0.776,823506,2.32,272,22/5/2023,5/11/2023,,9,Medium
CAM0011,Email,Automotive,Penang,100.3314,5.4141,2950122.353,273202,,5772,0.1026,6146,0.5987,696597,4.34,100,26/1/2023,1/2/2023,5,7,Low
CAM0012,TV,Groceries,Johor,103.662,1.492,494293,345013,278502,29474,0.456,6381,0.1074,538807,0.71,21,20/6/2023,14/8/2023,,8,Medium
CAM0013,Social Media,Automotive,Sabah,116.0735,5.9783,93840,1768613.217,312459,,0.7807,2031,6.35947639,287196,,1911.832921,19/11/2023,22/1/2024,3,10,High
CAM0014,TV,Automotive,Kuala Lumpur,101.6869,3.139,92250,238467,605504,37505,0.8509,8023,,689118,0.51,95,18/2/2023,10/11/2023,1,9,Low
CAM0015,Radio,Automotive,Sarawak,110.3626,1.5532,398390,85313,625134,,0.3366,9024,0.4934,350492,4.11,265,16/8/2023,5/8/2023,3,4,Low
CAM0016,Billboard,Fashion,Kuala Lumpur,101.6869,3.139,416307,356056,,26029,0.422,2227,0.8695,484913,1.55,127,7/1/2023,10/2/2024,3,7,
CAM0017,Social Media,Groceries,Sabah,116.0735,5.9783,253173,164789,412423,21115,0.3619,1589,0.6878,135885,2.99,291,1/12/2023,4/6/2023,3,4,Low
CAM0018,TV,Electronics,Sabah,116.0735,5.9783,95047,143469,143510,42776,0.7,6712,0.791,871680,4.68,14,5/5/2023,18/5/2023,4,6,Low
CAM0019,TV,Groceries,Johor,103.662,1.492,70988,356155,790871,27337,0.4197,2559,0.5721,645493,0.59,112,18/12/2023,,1,1,Medium
CAM0020,Billboard,Health,Johor,103.662,1.492,374690,170782,,27871,0.8745,3166,0.9757,760602,2.15,220,28/11/2023,17/8/2023,4,6,High
CAM0021,Radio,Health,Sabah,116.0735,5.9783,377108,145927,852248,47402,0.8955,1901,0.8278,956667,,334,3/3/2023,25/7/2023,1,1,Medium
CAM0022,Social Media,Electronics,Sabah,116.0735,5.9783,460110,118009,,4257,0.6323,1221,0.2114,682824,1.81,282,4/8/2023,19/1/2024,4,8,High
CAM0023,Radio,Automotive,Johor,103.662,1.492,152124,93699,117040,20883,0.3316,5928,0.277,201298,4.56,2,25/7/2023,28/7/2023,5,10,High
CAM0024,Social Media,Fashion,Penang,100.3314,5.4141,,74977,793745,2938,0.5601,2991,0.0166,984784,,183,6/10/2023,1/12/2023,4,,Medium
CAM0025,Billboard,Automotive,Sarawak,110.3626,1.5532,247862,253933,860326,,0.3108,2024,0.1672,,0.16,51,7/1/2023,30/5/2023,2,1,Medium
CAM0026,TV,Fashion,Penang,100.3314,5.4141,200311,260557,770139,,0.7611,3314,0.8951,914831,0.81,218,2/4/2023,20/12/2023,5,8,High
CAM0027,TV,Groceries,Kuala Lumpur,101.6869,3.139,71589,322417,149964,,0.2083,7424,0.5715,743462,4.76,301,16/3/2023,9/8/2023,4,7,Medium
CAM0028,Social Media,Fashion,Johor,103.662,1.492,137118,445177,737571,42740,0.8548,4257,0.4509,32398,3.81,154,7/9/2023,5/9/2023,1,5,Medium
CAM0029,Email,Electronics,Johor,103.662,1.492,385360,200263,315849,25921,0.3065,4448,0.6484,,2.22,139,28/6/2023,8/3/2023,1,,High
CAM0030,Billboard,Health,Sarawak,110.3626,1.5532,327702,232860,121327,,0.2607,5361,0.7959,209976,,270,9/9/2023,,1,6,High
CAM0031,Social Media,Automotive,Kuala Lumpur,101.6869,3.139,110168,348758,538171,28030,0.1921,3806,0.8366,348587,0.25,14,15/2/2023,25/2/2023,3,6,High
CAM0032,Social Media,Fashion,Johor,103.662,1.492,41050,,7057,45495,,9853,0.638,196892,1.15,,27/1/2023,24/6/2023,2,10,High
CAM0033,Radio,Health,Kuala Lumpur,101.6869,3.139,,,80612,14156,0.589,7695,,7235499.141,3.35,334,28/3/2023,21/8/2023,,7,High
