appid,name,release_date,english,developer,publisher,platforms_windows,platform_mac,platform_linux,required_age,categories,genres,achievements,positive_ratings,negative_ratings,average_playtime,owners,price
620590,Ancestors Legacy,5/22/2018,1,Destructive Creations,1C Entertainment,1,0,1,adult,Single-player,Strategy,50,1962,674,519,50000-100000,27.79
947830,Beyond,10/31/2018,1,Tired Dad Games,Tired Dad Games,1,0,1,adult,Single-player,Indie,0,1,2,0,0-20000,2.09
726360,Boobs Saga,12/7/2018,1,Boobs Dev,Boobs Dev,1,0,0,adult,Single-player,Action,0,367,103,38,20000-50000,1.99
823550,Booty Calls,9/18/2018,1,3X Entertainment Limited,3X Entertainment Limited,1,1,0,adult,Single-player,Casual,0,255,294,0,100000-200000,0
440900,Conan Exiles,5/8/2018,1,Funcom,Funcom,1,0,0,adult,Single-player,Action,25,22001,9594,4431,500000-1000000,33.99
778390,Corpse Party: Book of Shadows,10/29/2018,1,MAGES. Inc.,XSEED Games,1,0,0,adult,Single-player,Adventure,33,96,5,0,0-20000,12.99
912020,Deadly Curse,9/7/2018,1,Electrical Eagle,Electrical Eagle,1,1,1,adult,Single-player,Action,0,2,2,0,0-20000,11.39
866180,Debris 2x1 Hentai,7/9/2018,1,Red13Indie,Red13Indie,1,0,0,adult,Single-player,Adventure,3,1,5,0,0-20000,0.79
960030,Deca,12/20/2018,1,Jorge Diaz Alcaraz,Jorge Diaz Alcaraz,1,0,0,adult,Single-player,Indie,0,19,1,0,0-20000,8.29
859680,Deep Space Waifu: FANTASY,9/27/2018,1,Neko Climax Studios,Neko Climax Studios,1,0,0,adult,Single-player,Action,69,815,28,0,20000-50000,1.69
868980,DEEP SPACE WAIFU: NEKOMIMI,12/18/2018,1,Neko Climax Studios,Neko Climax Studios,1,0,0,adult,Single-player,Action,69,362,6,0,0-20000,1.69
743090,Defiance 2050,7/10/2018,1,Trion Worlds,Trion Worlds,1,0,0,adult,Online Multi-Player,Adventure,33,636,978,77,200000-500000,0
758280,Drunkenpants,1/5/2018,1,Firetail Games,Firetail Games,1,0,0,adult,Single-player,Violent,0,12,0,0,0-20000,0
489240,Exile to Death,6/1/2018,1,Aleksei Milchakov,Manifestors Games Studio,1,0,0,adult,Single-player,Action,0,7,23,0,0-20000,14.99
469820,Genital Jousting,1/18/2018,1,Free Lives,Devolver Digital,1,1,0,adult,Single-player,Action,28,4826,468,64,200000-500000,5.19
861350,Gym Simulator,11/17/2018,1,Kavkaz Sila Games,Kavkaz Sila Games,1,0,0,adult,Single-player,Action,7,46,53,0,0-20000,1.69
962380,HOT FIT!,11/30/2018,0,Cyberworks,Cyberworks,1,0,0,adult,Single-player,Adventure,0,28,7,0,0-20000,0
758050,Internet Simulator,3/15/2018,0,Kavkaz Sila Game,Kavkaz Sila Game,1,0,0,adult,Single-player,Indie,19,18,18,0,0-20000,2.09
517630,Just Cause 4,12/4/2018,1,Avalanche Studios,Square Enix,1,0,0,adult,Single-player,Action,52,2075,3780,1337,100000-200000,44.99
965810,Kara no Shojo,10/22/2018,1,Innocent Grey,MangaGamer,1,0,0,adult,Single-player,Adventure,0,61,3,0,0-20000,27.79
794600,LET IT DIE,9/26/2018,1,GRASSHOPPER MANUFACTURE INC.,GungHo Online Entertainment America,1,0,0,adult,Single-player,Action,14,1377,677,106,500000-1000000,0
532210,Life is Strange 2,9/26/2018,1,DONTNOD Entertainment,Square Enix,1,0,0,adult,Single-player,Adventure,46,4749,950,325,100000-200000,6.49
916060,Loca-Love My Cute Roommate,10/25/2018,1,Frontwing,Frontwing USA,1,0,0,adult,Single-player,Adventure,15,29,4,0,0-20000,15.49
975000,"NO, THANK YOU!!!",11/15/2018,1,parade,MangaGamer,1,0,0,adult,Single-player,Indie,0,9,1,0,0-20000,30.99
883830,NSFWare,10/17/2018,1,Pierrec,Pierrec,1,0,0,adult,Single-player,Casual,0,4,0,0,0-20000,2.09
844620,Odyssee,5/4/2018,1,Earth and Life Software,Earth and Life Marcoms,1,0,0,adult,Single-player,Violent,0,1,0,0,0-20000,4.79
